Hour,Minute,Bath_Dryer,Bedroom_ElectricAirHeater,Garden_PumpSwimmingPool,Garden_Treadmill,Kitchen_BakenOven,Kitchen_CoffeeMachine,Kitchen_Dishwashers,Kitchen_ExtractorHood,Kitchen_Freezer,Kitchen_InductionCooking,Living_AirConditioning,Living_CeilingFan,Living_MusicEquipment,Living_SpeakersCinema,Living_TVCinema
13,0,0.35088723,0,0,0,0,0.185977128,0,0.036798233,0,0.342740928,0.119657172,0.008462504,0,0,0
13,10,0.992044634,0,0,0,0,0,0,0.038226066,0,0.370732192,0.115727375,0.008676213,0,0,0
13,20,1.075713604,0,0,0,0,0,0,0.039370208,0,0.370076988,0.122918294,0.009228927,0,0,0
13,30,0.973946882,0,0,0,0,0,0,0.039387648,0,0.362843868,0.120216944,0.009161018,0,0,0
13,40,0.873800316,0,0,0,0,0,0,0.039152595,0,0.332772908,0.119916449,0.008572858,0,0,0
13,50,0.80263115,0,0,0,0,0,0,0.039699171,0,0.385725196,0.19794773,0.011567339,0,0,0
14,0,0.852502004,0,0,0,0,0,0,0,0,0,0.239031231,0.017187083,0,0,0
14,10,0.766530544,0,0,0,0,0,0,0,0,0,0.238166968,0.017372192,0,0,0
14,20,0.758156004,0,0,0,0,0,0,0,0,0,0.242612583,0.017501442,0,0,0
14,30,0.860296966,0,0,0,0,0,0,0,0,0,0.239708639,0.017318639,0,0,0
14,40,0.826778812,0,0,0,0,0,0,0,0,0,0.247628213,0.017698112,0,0,0
14,50,0.773339482,0,0,0,0,0,0,0,0,0,0.242685444,0.01628812,0,0,0
15,0,0,0,0,0,0,0,0,0,0.019964199,0,0.236744319,0.009219016,0,0,0
15,10,0,0,0,0,0,0,0,0,0.020429695,0,0.236299316,0.009085112,0,0,0
15,20,0,0,0,0,0,0,0,0,0.019610308,0,0.239182664,0.00887799,0,0,0
15,30,0,0,0,0,0,0,0,0,0.019546704,0,0.241536251,0.008724538,0,0,0
15,40,0,0,0,0,0,0,0,0,0.019861893,0,0.232614868,0.008776009,0,0,0
15,50,0,0,0.10900145,0,0,0,0,0,0.02096029,0,0.244243618,0.008826304,0,0,0
16,0,0,0,0.2166828,0,0,0,0,0,0,0,0.240681689,0.009079894,0,0,0
16,10,0,0,0.21816185,0,0,0,0,0,0,0,0.244615462,0.009091534,0,0,0
16,20,0,0,0.2125477,0,0,0,0,0,0,0,0.245170553,0.009182911,0,0,0
16,30,0,0,0.2098182,0,0,0,0,0,0,0,0.244077418,0.009212744,0,0,0
16,40,0,0,0.2168299,0,0,0,0,0,0,0,0.2440339,0.008748324,0,0,0
16,50,0,0,0.2147496,0,0,0,0,0,0,0,0.230915877,0.008719774,0,0,0
17,0,0,0,0.2096484,0,0,0,0,0,0,0,0,0,0,0,0
17,10,0,0,0.19493275,0,0,0,0,0,0,0,0,0,0,0,0
17,20,0,0,0.21186215,0,0,0,0,0,0,0,0,0,0,0,0
17,30,0,0,0.21291595,0,0,0,0,0,0,0,0,0,0,0,0
17,40,0,0,0.19505495,0,0,0,0,0,0,0,0,0,0,0,0
17,50,0,0,0.19942095,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0.2150784,0,0,0.185977128,0,0,0,0.159632328,0,0,0.007387758,0,0
18,10,0,0,0.2030535,0,0,0,0,0,0,0.397936216,0,0,0.030796248,0,0
18,20,0,0,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
18,30,0,0,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
18,40,0,0,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
18,50,0,0.468590064,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
19,0,0,1.052672556,0,0,0.083475136,0,0,0,0,0,0,0,0.030796248,0,0
19,10,0,0.988143408,0,0,0.350853148,0,0,0,0,0,0,0,0.030796248,0,0
19,20,0,0.953225262,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
19,30,0,1.002917919,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
19,40,0,1.020971628,0,0,0,0,0,0,0,0,0,0,0.030796248,0,0
19,50,0,1.023621393,0,0,0,0,0,0,0,0,0,0,0.030796248,0.06605166,0.011231413
20,0,0,0.967287657,0,0,0,0,0,0,0.019764737,0,0,0,0.025865504,0.06997695,0.018715746
20,10,0,0.986811336,0,0,0,0,0,0,0.018453751,0,0,0,0.030796248,0.06946089,0.018202519
20,20,0,0.994181601,0,0,0,0,0,0,0.019084571,0,0,0,0.030796248,0.07165692,0.018625879
20,30,0,1.018051806,0,0,0,0,0,0,0.018993415,0,0,0,0.030796248,0.06900405,0.019397634
20,40,0,0.9783306,0,0,0,0,0,0,0.019299406,0,0,0,0.030796248,0.06822453,0.018291917
20,50,0,1.002123411,0,0,0,0,0,0,0.020282926,0,0,0,0.030796248,0.06973971,0.018385593
21,0,0,0.978651762,0,0,0,0,0.107688958,0,0,0,0,0,0.030796248,0.07489374,0.018230116
21,10,0,1.039008291,0,0,0,0,0.258876223,0,0,0,0,0,0.030796248,0.06639294,0.018722228
21,20,0,1.00652559,0,0,0,0,0.050985536,0,0,0,0,0,0.030796248,0.07282263,0.018509586
21,30,0,1.022454762,0,0,0,0,0.026322779,0,0,0,0,0,0.030796248,0.06642885,0.018299711
21,40,0,0.939599361,0,0,0,0,0.026787189,0,0,0,0,0,0.030796248,0.06964191,0.018665924
21,50,0,1.106563152,0,0,0,0,0.027373496,0,0,0,0,0,0.030796248,0,0
22,0,0,1.00314378,0,0,0,0,0.025973189,0,0,0,0,0,0.012318502,0,0
22,10,0,0.917052822,0,0,0,0,0.026175188,0,0,0,0,0,0,0,0
22,20,0,1.030106121,0,0,0,0,0.026195692,0,0,0,0,0,0,0,0
22,30,0,1.036503624,0,0,0,0,0.123537277,0,0,0,0,0,0,0,0
22,40,0,0.962745057,0,0,0,0,0.270169683,0,0,0,0,0,0,0,0
22,50,0,0.519139236,0,0,0,0,0.261007113,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0.051512814,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0.027353664,0,0,0,0,0,0,0,0
23,20,0,0,0,0,0,0,0.026092401,0,0,0,0,0,0,0,0
23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
